[CS61C Project 4] start classifier training
iteration: 0, loss: 5.614263, time: 2.838752 sec
iteration: 1, loss: 5.613326, time: 1.158512 sec
iteration: 2, loss: 5.611547, time: 1.217295 sec
iteration: 3, loss: 5.609010, time: 1.451861 sec
iteration: 4, loss: 5.605793, time: 1.590805 sec
iteration: 5, loss: 5.601963, time: 1.745770 sec
iteration: 6, loss: 5.597585, time: 1.642705 sec
iteration: 7, loss: 5.592714, time: 1.872357 sec
iteration: 8, loss: 5.587401, time: 1.684650 sec
iteration: 9, loss: 5.581692, time: 1.724706 sec
iteration: 10, loss: 5.575628, time: 1.688119 sec
iteration: 11, loss: 5.569246, time: 1.161850 sec
iteration: 12, loss: 5.562581, time: 1.562761 sec
iteration: 13, loss: 5.555662, time: 1.797902 sec
iteration: 14, loss: 5.548516, time: 1.715102 sec
iteration: 15, loss: 5.541169, time: 1.731578 sec
iteration: 16, loss: 5.533642, time: 1.717963 sec
iteration: 17, loss: 5.525955, time: 1.699945 sec
iteration: 18, loss: 5.518127, time: 1.674931 sec
iteration: 19, loss: 5.510172, time: 1.779584 sec
iteration: 20, loss: 5.502106, time: 1.808265 sec
iteration: 21, loss: 5.493942, time: 1.743731 sec
iteration: 22, loss: 5.485692, time: 1.706860 sec
iteration: 23, loss: 5.477366, time: 1.663714 sec
iteration: 24, loss: 5.468973, time: 1.622340 sec
iteration: 25, loss: 5.460523, time: 1.823804 sec
iteration: 26, loss: 5.452023, time: 1.694151 sec
iteration: 27, loss: 5.443480, time: 1.678959 sec
iteration: 28, loss: 5.434900, time: 1.663074 sec
iteration: 29, loss: 5.426290, time: 1.677581 sec
iteration: 30, loss: 5.417653, time: 1.670531 sec
iteration: 31, loss: 5.408994, time: 1.734441 sec
iteration: 32, loss: 5.400318, time: 1.733389 sec
iteration: 33, loss: 5.391628, time: 1.680926 sec
iteration: 34, loss: 5.382928, time: 1.683126 sec
iteration: 35, loss: 5.374220, time: 1.103277 sec
iteration: 36, loss: 5.365508, time: 1.061562 sec
iteration: 37, loss: 5.356792, time: 1.632494 sec
iteration: 38, loss: 5.348077, time: 1.562737 sec
